,Close,High,Low,Money,Open,Time,Turnover_ratio,Volume
0,3.74,3.74,3.74,0.0,3.74,2009-11-27,,0.0
1,2.96,2.96,2.96,0.0,2.96,2010-02-03,,0.0
2,4.15,4.15,4.15,0.0,4.15,2010-04-19,,0.0
3,4.95,4.95,4.95,0.0,4.95,2010-06-23,,0.0
4,3.5,3.5,3.5,0.0,3.5,2011-03-31,,0.0
5,3.7,3.7,3.7,0.0,3.7,2011-06-02,,0.0
6,4.15,4.15,4.15,0.0,4.15,2011-08-26,,0.0
7,4.33,4.33,4.33,0.0,4.33,2011-11-07,,0.0
8,3.84,3.84,3.84,0.0,3.84,2011-12-30,,0.0
9,3.55,3.55,3.55,0.0,3.55,2012-04-17,,0.0
10,3.07,3.07,3.07,0.0,3.07,2012-12-07,,0.0
11,3.07,3.07,3.07,0.0,3.07,2012-12-10,,0.0
12,4.59,4.59,4.59,0.0,4.59,2013-02-26,,0.0
13,7.06,7.06,7.06,0.0,7.06,2013-06-05,,0.0
14,7.06,7.06,7.06,0.0,7.06,2013-06-06,,0.0
15,7.06,7.06,7.06,0.0,7.06,2013-06-07,,0.0
16,7.06,7.06,7.06,0.0,7.06,2013-06-13,,0.0
17,7.06,7.06,7.06,0.0,7.06,2013-06-14,,0.0
18,7.06,7.06,7.06,0.0,7.06,2013-06-17,,0.0
19,7.06,7.06,7.06,0.0,7.06,2013-06-18,,0.0
20,7.06,7.06,7.06,0.0,7.06,2013-06-19,,0.0
21,7.06,7.06,7.06,0.0,7.06,2013-06-20,,0.0
22,7.06,7.06,7.06,0.0,7.06,2013-06-21,,0.0
23,7.06,7.06,7.06,0.0,7.06,2013-06-24,,0.0
24,7.06,7.06,7.06,0.0,7.06,2013-06-25,,0.0
25,7.06,7.06,7.06,0.0,7.06,2013-06-26,,0.0
26,7.06,7.06,7.06,0.0,7.06,2013-06-27,,0.0
27,7.06,7.06,7.06,0.0,7.06,2013-06-28,,0.0
28,7.06,7.06,7.06,0.0,7.06,2013-07-01,,0.0
29,7.06,7.06,7.06,0.0,7.06,2013-07-02,,0.0
30,7.06,7.06,7.06,0.0,7.06,2013-07-03,,0.0
31,7.06,7.06,7.06,0.0,7.06,2013-07-04,,0.0
32,7.06,7.06,7.06,0.0,7.06,2013-07-05,,0.0
33,7.06,7.06,7.06,0.0,7.06,2013-07-08,,0.0
34,7.06,7.06,7.06,0.0,7.06,2013-07-09,,0.0
35,7.06,7.06,7.06,0.0,7.06,2013-07-10,,0.0
36,7.06,7.06,7.06,0.0,7.06,2013-07-11,,0.0
37,7.06,7.06,7.06,0.0,7.06,2013-07-12,,0.0
38,7.06,7.06,7.06,0.0,7.06,2013-07-15,,0.0
39,7.06,7.06,7.06,0.0,7.06,2013-07-16,,0.0
40,7.06,7.06,7.06,0.0,7.06,2013-07-17,,0.0
41,7.06,7.06,7.06,0.0,7.06,2013-07-18,,0.0
42,7.06,7.06,7.06,0.0,7.06,2013-07-19,,0.0
43,7.06,7.06,7.06,0.0,7.06,2013-07-22,,0.0
44,7.06,7.06,7.06,0.0,7.06,2013-07-23,,0.0
45,14.53,14.53,14.53,0.0,14.53,2014-01-10,,0.0
46,14.53,14.53,14.53,0.0,14.53,2014-01-13,,0.0
47,14.53,14.53,14.53,0.0,14.53,2014-01-14,,0.0
48,14.53,14.53,14.53,0.0,14.53,2014-01-15,,0.0
49,14.53,14.53,14.53,0.0,14.53,2014-01-16,,0.0
50,11.68,11.68,11.68,0.0,11.68,2014-09-18,,0.0
51,11.68,11.68,11.68,0.0,11.68,2014-09-19,,0.0
52,11.68,11.68,11.68,0.0,11.68,2014-09-22,,0.0
53,11.68,11.68,11.68,0.0,11.68,2014-09-23,,0.0
54,11.68,11.68,11.68,0.0,11.68,2014-09-24,,0.0
55,11.68,11.68,11.68,0.0,11.68,2014-09-25,,0.0
56,11.68,11.68,11.68,0.0,11.68,2014-09-26,,0.0
57,11.68,11.68,11.68,0.0,11.68,2014-09-29,,0.0
58,11.68,11.68,11.68,0.0,11.68,2014-09-30,,0.0
59,11.68,11.68,11.68,0.0,11.68,2014-10-08,,0.0
60,11.68,11.68,11.68,0.0,11.68,2014-10-09,,0.0
61,11.68,11.68,11.68,0.0,11.68,2014-10-10,,0.0
62,11.68,11.68,11.68,0.0,11.68,2014-10-13,,0.0
63,11.68,11.68,11.68,0.0,11.68,2014-10-14,,0.0
